Year,Region,Category,Indicator,Characteristic,Age,Sex,Result,Unit,Significants (g),Comments
2016,NSW,Alcohol,Single occasion risk status,Abstainers,14+,Females,26.8,Per cent,,
2016,NSW,Alcohol,Single occasion risk status,Low risk,14+,Females,46.3,Per cent,,
2016,NSW,Alcohol,Single occasion risk status,Risky at least yearly,14+,Females,10.6,Per cent,,
2016,NSW,Alcohol,Single occasion risk status,Risky at least monthly,14+,Females,9,Per cent,,
2016,NSW,Alcohol,Single occasion risk status,Risky at least weekly,14+,Females,7.2,Per cent,,
2016,NSW,Alcohol,Single occasion risk status,Total risky,14+,Females,26.9,Per cent,,
2016,NSW,Alcohol,Single occasion risk status,Abstainers,14+,Persons,24,Per cent,,
2016,NSW,Alcohol,Single occasion risk status,Low risk,14+,Persons,41.1,Per cent,,
2016,NSW,Alcohol,Single occasion risk status,Risky at least yearly,14+,Persons,11.1,Per cent,,
2016,NSW,Alcohol,Single occasion risk status,Risky at least monthly,14+,Persons,10.7,Per cent,,
2016,NSW,Alcohol,Single occasion risk status,Risky at least weekly,14+,Persons,13.2,Per cent,,
2016,NSW,Alcohol,Single occasion risk status,Total risky,14+,Persons,35,Per cent,,
2010,VIC,Alcohol,Single occasion risk status,Abstainers,14+,Males,18.8,Per cent,,
2010,VIC,Alcohol,Single occasion risk status,Low risk,14+,Males,32.2,Per cent,,
2010,VIC,Alcohol,Single occasion risk status,Risky at least yearly,14+,Males,12.2,Per cent,,
2010,VIC,Alcohol,Single occasion risk status,Risky at least monthly,14+,Males,16.1,Per cent,,
2010,VIC,Alcohol,Single occasion risk status,Risky at least weekly,14+,Males,20.6,Per cent,,
2010,VIC,Alcohol,Single occasion risk status,Total risky,14+,Males,48.9,Per cent,,
2010,VIC,Alcohol,Single occasion risk status,Abstainers,14+,Females,23.7,Per cent,,
2010,VIC,Alcohol,Single occasion risk status,Low risk,14+,Females,47.4,Per cent,,
2010,VIC,Alcohol,Single occasion risk status,Risky at least yearly,14+,Females,11,Per cent,,
2010,VIC,Alcohol,Single occasion risk status,Risky at least monthly,14+,Females,9,Per cent,,
2010,VIC,Alcohol,Single occasion risk status,Risky at least weekly,14+,Females,8.8,Per cent,,
2010,VIC,Alcohol,Single occasion risk status,Total risky,14+,Females,28.9,Per cent,,
2010,VIC,Alcohol,Single occasion risk status,Abstainers,14+,Persons,21.3,Per cent,,
2010,VIC,Alcohol,Single occasion risk status,Low risk,14+,Persons,39.9,Per cent,,
2010,VIC,Alcohol,Single occasion risk status,Risky at least yearly,14+,Persons,11.6,Per cent,,
2010,VIC,Alcohol,Single occasion risk status,Risky at least monthly,14+,Persons,12.5,Per cent,,
2010,VIC,Alcohol,Single occasion risk status,Risky at least weekly,14+,Persons,14.6,Per cent,,
2010,VIC,Alcohol,Single occasion risk status,Total risky,14+,Persons,38.8,Per cent,,
2013,VIC,Alcohol,Single occasion risk status,Abstainers,14+,Males,20.4,Per cent,,
2013,VIC,Alcohol,Single occasion risk status,Low risk,14+,Males,33.7,Per cent,,
2013,VIC,Alcohol,Single occasion risk status,Risky at least yearly,14+,Males,11.3,Per cent,,
2013,VIC,Alcohol,Single occasion risk status,Risky at least monthly,14+,Males,15.2,Per cent,,
2013,VIC,Alcohol,Single occasion risk status,Risky at least weekly,14+,Males,19.3,Per cent,,
2013,VIC,Alcohol,Single occasion risk status,Total risky,14+,Males,45.9,Per cent,,
2013,VIC,Alcohol,Single occasion risk status,Abstainers,14+,Females,26.5,Per cent,,
2013,VIC,Alcohol,Single occasion risk status,Low risk,14+,Females,47.6,Per cent,,
2013,VIC,Alcohol,Single occasion risk status,Risky at least yearly,14+,Females,10.2,Per cent,,
2013,VIC,Alcohol,Single occasion risk status,Risky at least monthly,14+,Females,8.6,Per cent,,
2013,VIC,Alcohol,Single occasion risk status,Risky at least weekly,14+,Females,7.1,Per cent,,
2013,VIC,Alcohol,Single occasion risk status,Total risky,14+,Females,25.9,Per cent,,
2013,VIC,Alcohol,Single occasion risk status,Abstainers,14+,Persons,23.5,Per cent,,
2013,VIC,Alcohol,Single occasion risk status,Low risk,14+,Persons,40.8,Per cent,,
2013,VIC,Alcohol,Single occasion risk status,Risky at least yearly,14+,Persons,10.8,Per cent,,
2013,VIC,Alcohol,Single occasion risk status,Risky at least monthly,14+,Persons,11.8,Per cent,,
2013,VIC,Alcohol,Single occasion risk status,Risky at least weekly,14+,Persons,13.1,Per cent,,
2013,VIC,Alcohol,Single occasion risk status,Total risky,14+,Persons,35.7,Per cent,,
2016,VIC,Alcohol,Single occasion risk status,Abstainers,14+,Males,20.5,Per cent,,
2016,VIC,Alcohol,Single occasion risk status,Low risk,14+,Males,33.5,Per cent,,
2016,VIC,Alcohol,Single occasion risk status,Risky at least yearly,14+,Males,12.8,Per cent,,
2016,VIC,Alcohol,Single occasion risk status,Risky at least monthly,14+,Males,15.9,Per cent,,
2016,VIC,Alcohol,Single occasion risk status,Risky at least weekly,14+,Males,17.3,Per cent,,
2016,VIC,Alcohol,Single occasion risk status,Total risky,14+,Males,46,Per cent,,
2016,VIC,Alcohol,Single occasion risk status,Abstainers,14+,Females,26,Per cent,,
2016,VIC,Alcohol,Single occasion risk status,Low risk,14+,Females,47.8,Per cent,,
2016,VIC,Alcohol,Single occasion risk status,Risky at least yearly,14+,Females,10.4,Per cent,,
2016,VIC,Alcohol,Single occasion risk status,Risky at least monthly,14+,Females,9.3,Per cent,,
2016,VIC,Alcohol,Single occasion risk status,Risky at least weekly,14+,Females,6.5,Per cent,,
2016,VIC,Alcohol,Single occasion risk status,Total risky,14+,Females,26.2,Per cent,,
2016,VIC,Alcohol,Single occasion risk status,Abstainers,14+,Persons,23.3,Per cent,,
2016,VIC,Alcohol,Single occasion risk status,Low risk,14+,Persons,40.8,Per cent,,
2016,VIC,Alcohol,Single occasion risk status,Risky at least yearly,14+,Persons,11.5,Per cent,,
2016,VIC,Alcohol,Single occasion risk status,Risky at least monthly,14+,Persons,12.6,Per cent,,
2016,VIC,Alcohol,Single occasion risk status,Risky at least weekly,14+,Persons,11.8,Per cent,,
2016,VIC,Alcohol,Single occasion risk status,Total risky,14+,Persons,35.9,Per cent,,
2010,Qld,Alcohol,Single occasion risk status,Abstainers,14+,Males,13.8,Per cent,,
2010,Qld,Alcohol,Single occasion risk status,Low risk,14+,Males,29.1,Per cent,,
2010,Qld,Alcohol,Single occasion risk status,Risky at least yearly,14+,Males,12.2,Per cent,,
2010,Qld,Alcohol,Single occasion risk status,Risky at least monthly,14+,Males,17.8,Per cent,,
2010,Qld,Alcohol,Single occasion risk status,Risky at least weekly,14+,Males,27.1,Per cent,,
2010,Qld,Alcohol,Single occasion risk status,Total risky,14+,Males,57.1,Per cent,,
2010,Qld,Alcohol,Single occasion risk status,Abstainers,14+,Females,20.4,Per cent,,
2010,Qld,Alcohol,Single occasion risk status,Low risk,14+,Females,44.8,Per cent,,
2010,Qld,Alcohol,Single occasion risk status,Risky at least yearly,14+,Females,11.8,Per cent,,
2010,Qld,Alcohol,Single occasion risk status,Risky at least monthly,14+,Females,12.9,Per cent,,
2010,Qld,Alcohol,Single occasion risk status,Risky at least weekly,14+,Females,10,Per cent,,
2010,Qld,Alcohol,Single occasion risk status,Total risky,14+,Females,34.7,Per cent,,
2010,Qld,Alcohol,Single occasion risk status,Abstainers,14+,Persons,17.1,Per cent,,
2010,Qld,Alcohol,Single occasion risk status,Low risk,14+,Persons,37,Per cent,,
2010,Qld,Alcohol,Single occasion risk status,Risky at least yearly,14+,Persons,12,Per cent,,
2010,Qld,Alcohol,Single occasion risk status,Risky at least monthly,14+,Persons,15.3,Per cent,,
2010,Qld,Alcohol,Single occasion risk status,Risky at least weekly,14+,Persons,18.5,Per cent,,
2010,Qld,Alcohol,Single occasion risk status,Total risky,14+,Persons,45.9,Per cent,,
2013,Qld,Alcohol,Single occasion risk status,Abstainers,14+,Males,16.9,Per cent,,
2013,Qld,Alcohol,Single occasion risk status,Low risk,14+,Males,32.5,Per cent,,
2013,Qld,Alcohol,Single occasion risk status,Risky at least yearly,14+,Males,12.3,Per cent,,
2013,Qld,Alcohol,Single occasion risk status,Risky at least monthly,14+,Males,16.5,Per cent,,
2013,Qld,Alcohol,Single occasion risk status,Risky at least weekly,14+,Males,21.7,Per cent,,
2013,Qld,Alcohol,Single occasion risk status,Total risky,14+,Males,50.6,Per cent,,
2013,Qld,Alcohol,Single occasion risk status,Abstainers,14+,Females,22.8,Per cent,,
2013,Qld,Alcohol,Single occasion risk status,Low risk,14+,Females,46.5,Per cent,,
2013,Qld,Alcohol,Single occasion risk status,Risky at least yearly,14+,Females,12.5,Per cent,,
2013,Qld,Alcohol,Single occasion risk status,Risky at least monthly,14+,Females,9,Per cent,,
2013,Qld,Alcohol,Single occasion risk status,Risky at least weekly,14+,Females,9.2,Per cent,,
2013,Qld,Alcohol,Single occasion risk status,Total risky,14+,Females,30.6,Per cent,,
2013,Qld,Alcohol,Single occasion risk status,Abstainers,14+,Persons,19.9,Per cent,,
2013,Qld,Alcohol,Single occasion risk status,Low risk,14+,Persons,39.5,Per cent,,
2013,Qld,Alcohol,Single occasion risk status,Risky at least yearly,14+,Persons,12.4,Per cent,,
2013,Qld,Alcohol,Single occasion risk status,Risky at least monthly,14+,Persons,12.8,Per cent,,
2013,Qld,Alcohol,Single occasion risk status,Risky at least weekly,14+,Persons,15.4,Per cent,,
2013,Qld,Alcohol,Single occasion risk status,Total risky,14+,Persons,40.6,Per cent,,
2016,Qld,Alcohol,Single occasion risk status,Abstainers,14+,Males,18.3,Per cent,,
2016,Qld,Alcohol,Single occasion risk status,Low risk,14+,Males,29.9,Per cent,,
2016,Qld,Alcohol,Single occasion risk status,Risky at least yearly,14+,Males,12.4,Per cent,,
2016,Qld,Alcohol,Single occasion risk status,Risky at least monthly,14+,Males,16,Per cent,,
2016,Qld,Alcohol,Single occasion risk status,Risky at least weekly,14+,Males,23.3,Per cent,,
2016,Qld,Alcohol,Single occasion risk status,Total risky,14+,Males,51.8,Per cent,,
2016,Qld,Alcohol,Single occasion risk status,Abstainers,14+,Females,22.9,Per cent,,
2016,Qld,Alcohol,Single occasion risk status,Low risk,14+,Females,45.6,Per cent,,
2016,Qld,Alcohol,Single occasion risk status,Risky at least yearly,14+,Females,13.3,Per cent,,
2016,Qld,Alcohol,Single occasion risk status,Risky at least monthly,14+,Females,10.9,Per cent,,
2016,Qld,Alcohol,Single occasion risk status,Risky at least weekly,14+,Females,7.3,Per cent,,#
2016,Qld,Alcohol,Single occasion risk status,Total risky,14+,Females,31.5,Per cent,,
2016,Qld,Alcohol,Single occasion risk status,Abstainers,14+,Persons,20.6,Per cent,,
2016,Qld,Alcohol,Single occasion risk status,Low risk,14+,Persons,37.8,Per cent,,
2016,Qld,Alcohol,Single occasion risk status,Risky at least yearly,14+,Persons,12.8,Per cent,,
2016,Qld,Alcohol,Single occasion risk status,Risky at least monthly,14+,Persons,13.5,Per cent,,
2016,Qld,Alcohol,Single occasion risk status,Risky at least weekly,14+,Persons,15.3,Per cent,,
2016,Qld,Alcohol,Single occasion risk status,Total risky,14+,Persons,41.6,Per cent,,
2010,WA,Alcohol,Single occasion risk status,Abstainers,14+,Males,14.2,Per cent,,
2010,WA,Alcohol,Single occasion risk status,Low risk,14+,Males,30.8,Per cent,,
2010,WA,Alcohol,Single occasion risk status,Risky at least yearly,14+,Males,13,Per cent,,
2010,WA,Alcohol,Single occasion risk status,Risky at least monthly,14+,Males,16,Per cent,,
2010,WA,Alcohol,Single occasion risk status,Risky at least weekly,14+,Males,26,Per cent,,
2010,WA,Alcohol,Single occasion risk status,Total risky,14+,Males,55,Per cent,,
2010,WA,Alcohol,Single occasion risk status,Abstainers,14+,Females,20.5,Per cent,,
2010,WA,Alcohol,Single occasion risk status,Low risk,14+,Females,46.6,Per cent,,
2010,WA,Alcohol,Single occasion risk status,Risky at least yearly,14+,Females,11.9,Per cent,,
2010,WA,Alcohol,Single occasion risk status,Risky at least monthly,14+,Females,10.7,Per cent,,
2010,WA,Alcohol,Single occasion risk status,Risky at least weekly,14+,Females,10.2,Per cent,,
2010,WA,Alcohol,Single occasion risk status,Total risky,14+,Females,32.9,Per cent,,
2010,WA,Alcohol,Single occasion risk status,Abstainers,14+,Persons,17.3,Per cent,,
2010,WA,Alcohol,Single occasion risk status,Low risk,14+,Persons,38.6,Per cent,,
2010,WA,Alcohol,Single occasion risk status,Risky at least yearly,14+,Persons,12.5,Per cent,,
2010,WA,Alcohol,Single occasion risk status,Risky at least monthly,14+,Persons,13.4,Per cent,,
2010,WA,Alcohol,Single occasion risk status,Risky at least weekly,14+,Persons,18.2,Per cent,,
2010,WA,Alcohol,Single occasion risk status,Total risky,14+,Persons,44,Per cent,,
2013,WA,Alcohol,Single occasion risk status,Abstainers,14+,Males,15.1,Per cent,,
2013,WA,Alcohol,Single occasion risk status,Low risk,14+,Males,29.7,Per cent,,
2013,WA,Alcohol,Single occasion risk status,Risky at least yearly,14+,Males,12.4,Per cent,,
2013,WA,Alcohol,Single occasion risk status,Risky at least monthly,14+,Males,16.2,Per cent,,
2013,WA,Alcohol,Single occasion risk status,Risky at least weekly,14+,Males,26.6,Per cent,,
2013,WA,Alcohol,Single occasion risk status,Total risky,14+,Males,55.2,Per cent,,
2013,WA,Alcohol,Single occasion risk status,Abstainers,14+,Females,21.6,Per cent,,
2013,WA,Alcohol,Single occasion risk status,Low risk,14+,Females,46.9,Per cent,,
2013,WA,Alcohol,Single occasion risk status,Risky at least yearly,14+,Females,11.8,Per cent,,
2013,WA,Alcohol,Single occasion risk status,Risky at least monthly,14+,Females,10.9,Per cent,,
2013,WA,Alcohol,Single occasion risk status,Risky at least weekly,14+,Females,8.8,Per cent,,
2013,WA,Alcohol,Single occasion risk status,Total risky,14+,Females,31.5,Per cent,,
2013,WA,Alcohol,Single occasion risk status,Abstainers,14+,Persons,18.3,Per cent,,
2013,WA,Alcohol,Single occasion risk status,Low risk,14+,Persons,38.2,Per cent,,
2013,WA,Alcohol,Single occasion risk status,Risky at least yearly,14+,Persons,12.1,Per cent,,
2013,WA,Alcohol,Single occasion risk status,Risky at least monthly,14+,Persons,13.6,Per cent,,
2013,WA,Alcohol,Single occasion risk status,Risky at least weekly,14+,Persons,17.8,Per cent,,
2013,WA,Alcohol,Single occasion risk status,Total risky,14+,Persons,43.5,Per cent,,
2016,WA,Alcohol,Single occasion risk status,Abstainers,14+,Males,23.6,Per cent,,#
2016,WA,Alcohol,Single occasion risk status,Low risk,14+,Males,30.8,Per cent,,
2016,WA,Alcohol,Single occasion risk status,Risky at least yearly,14+,Males,9.6,Per cent,,
2016,WA,Alcohol,Single occasion risk status,Risky at least monthly,14+,Males,17.7,Per cent,,
2016,WA,Alcohol,Single occasion risk status,Risky at least weekly,14+,Males,18.3,Per cent,,#
2016,WA,Alcohol,Single occasion risk status,Total risky,14+,Males,45.5,Per cent,,#
2016,WA,Alcohol,Single occasion risk status,Abstainers,14+,Females,27.4,Per cent,,#
2016,WA,Alcohol,Single occasion risk status,Low risk,14+,Females,43.4,Per cent,,
2016,WA,Alcohol,Single occasion risk status,Risky at least yearly,14+,Females,11.2,Per cent,,
2016,WA,Alcohol,Single occasion risk status,Risky at least monthly,14+,Females,9.3,Per cent,,
2016,WA,Alcohol,Single occasion risk status,Risky at least weekly,14+,Females,8.7,Per cent,,
2016,WA,Alcohol,Single occasion risk status,Total risky,14+,Females,29.2,Per cent,,
2016,WA,Alcohol,Single occasion risk status,Abstainers,14+,Persons,25.5,Per cent,,#
2016,WA,Alcohol,Single occasion risk status,Low risk,14+,Persons,37.2,Per cent,,
2016,WA,Alcohol,Single occasion risk status,Risky at least yearly,14+,Persons,10.4,Per cent,,
2016,WA,Alcohol,Single occasion risk status,Risky at least monthly,14+,Persons,13.5,Per cent,,
2016,WA,Alcohol,Single occasion risk status,Risky at least weekly,14+,Persons,13.5,Per cent,,#
2016,WA,Alcohol,Single occasion risk status,Total risky,14+,Persons,37.3,Per cent,,#
2010,SA,Alcohol,Single occasion risk status,Abstainers,14+,Males,16.6,Per cent,,
2010,SA,Alcohol,Single occasion risk status,Low risk,14+,Males,35.5,Per cent,,
2010,SA,Alcohol,Single occasion risk status,Risky at least yearly,14+,Males,11.5,Per cent,,
2010,SA,Alcohol,Single occasion risk status,Risky at least monthly,14+,Males,12.4,Per cent,,
2010,SA,Alcohol,Single occasion risk status,Risky at least weekly,14+,Males,24,Per cent,,
2010,SA,Alcohol,Single occasion risk status,Total risky,14+,Males,47.9,Per cent,,
2010,SA,Alcohol,Single occasion risk status,Abstainers,14+,Females,21.9,Per cent,,
2010,SA,Alcohol,Single occasion risk status,Low risk,14+,Females,47.4,Per cent,,
2010,SA,Alcohol,Single occasion risk status,Risky at least yearly,14+,Females,11,Per cent,,
2010,SA,Alcohol,Single occasion risk status,Risky at least monthly,14+,Females,10.5,Per cent,,
2010,SA,Alcohol,Single occasion risk status,Risky at least weekly,14+,Females,9.2,Per cent,,
2010,SA,Alcohol,Single occasion risk status,Total risky,14+,Females,30.6,Per cent,,
2010,SA,Alcohol,Single occasion risk status,Abstainers,14+,Persons,19.3,Per cent,,
2010,SA,Alcohol,Single occasion risk status,Low risk,14+,Persons,41.6,Per cent,,
2010,SA,Alcohol,Single occasion risk status,Risky at least yearly,14+,Persons,11.2,Per cent,,
2010,SA,Alcohol,Single occasion risk status,Risky at least monthly,14+,Persons,11.4,Per cent,,
2010,SA,Alcohol,Single occasion risk status,Risky at least weekly,14+,Persons,16.5,Per cent,,
2010,SA,Alcohol,Single occasion risk status,Total risky,14+,Persons,39.1,Per cent,,
2013,SA,Alcohol,Single occasion risk status,Abstainers,14+,Males,21.5,Per cent,,
2013,SA,Alcohol,Single occasion risk status,Low risk,14+,Males,28.2,Per cent,,
2013,SA,Alcohol,Single occasion risk status,Risky at least yearly,14+,Males,12.7,Per cent,,
2013,SA,Alcohol,Single occasion risk status,Risky at least monthly,14+,Males,15.5,Per cent,,
2013,SA,Alcohol,Single occasion risk status,Risky at least weekly,14+,Males,22.1,Per cent,,
2013,SA,Alcohol,Single occasion risk status,Total risky,14+,Males,50.3,Per cent,,
2013,SA,Alcohol,Single occasion risk status,Abstainers,14+,Females,19.7,Per cent,,
2013,SA,Alcohol,Single occasion risk status,Low risk,14+,Females,50.5,Per cent,,
2013,SA,Alcohol,Single occasion risk status,Risky at least yearly,14+,Females,11.5,Per cent,,
2013,SA,Alcohol,Single occasion risk status,Risky at least monthly,14+,Females,10.4,Per cent,,
2013,SA,Alcohol,Single occasion risk status,Risky at least weekly,14+,Females,7.8,Per cent,,
2013,SA,Alcohol,Single occasion risk status,Total risky,14+,Females,29.8,Per cent,,
2013,SA,Alcohol,Single occasion risk status,Abstainers,14+,Persons,20.6,Per cent,,
2013,SA,Alcohol,Single occasion risk status,Low risk,14+,Persons,39.4,Per cent,,
2013,SA,Alcohol,Single occasion risk status,Risky at least yearly,14+,Persons,12.1,Per cent,,
2013,SA,Alcohol,Single occasion risk status,Risky at least monthly,14+,Persons,12.9,Per cent,,
2013,SA,Alcohol,Single occasion risk status,Risky at least weekly,14+,Persons,14.9,Per cent,,
2013,SA,Alcohol,Single occasion risk status,Total risky,14+,Persons,39.9,Per cent,,
2016,SA,Alcohol,Single occasion risk status,Abstainers,14+,Males,19.6,Per cent,,
2016,SA,Alcohol,Single occasion risk status,Low risk,14+,Males,33.2,Per cent,,#
2016,SA,Alcohol,Single occasion risk status,Risky at least yearly,14+,Males,14.6,Per cent,,
2016,SA,Alcohol,Single occasion risk status,Risky at least monthly,14+,Males,14.8,Per cent,,
2016,SA,Alcohol,Single occasion risk status,Risky at least weekly,14+,Males,17.8,Per cent,,#
2016,SA,Alcohol,Single occasion risk status,Total risky,14+,Males,47.2,Per cent,,
2016,SA,Alcohol,Single occasion risk status,Abstainers,14+,Females,23.6,Per cent,,
2016,SA,Alcohol,Single occasion risk status,Low risk,14+,Females,47.5,Per cent,,
2016,SA,Alcohol,Single occasion risk status,Risky at least yearly,14+,Females,10.5,Per cent,,
2016,SA,Alcohol,Single occasion risk status,Risky at least monthly,14+,Females,11,Per cent,,
2016,SA,Alcohol,Single occasion risk status,Risky at least weekly,14+,Females,7.4,Per cent,,
2016,SA,Alcohol,Single occasion risk status,Total risky,14+,Females,28.9,Per cent,,
2016,SA,Alcohol,Single occasion risk status,Abstainers,14+,Persons,21.6,Per cent,,
2016,SA,Alcohol,Single occasion risk status,Low risk,14+,Persons,40.4,Per cent,,
2016,SA,Alcohol,Single occasion risk status,Risky at least yearly,14+,Persons,12.6,Per cent,,
2016,SA,Alcohol,Single occasion risk status,Risky at least monthly,14+,Persons,12.9,Per cent,,
2016,SA,Alcohol,Single occasion risk status,Risky at least weekly,14+,Persons,12.5,Per cent,,
2016,SA,Alcohol,Single occasion risk status,Total risky,14+,Persons,38,Per cent,,
2010,Tas,Alcohol,Single occasion risk status,Abstainers,14+,Males,10,Per cent,,
2010,Tas,Alcohol,Single occasion risk status,Low risk,14+,Males,37.2,Per cent,,
2010,Tas,Alcohol,Single occasion risk status,Risky at least yearly,14+,Males,11,Per cent,,
2010,Tas,Alcohol,Single occasion risk status,Risky at least monthly,14+,Males,15.4,Per cent,,
2010,Tas,Alcohol,Single occasion risk status,Risky at least weekly,14+,Males,26.4,Per cent,,
2010,Tas,Alcohol,Single occasion risk status,Total risky,14+,Males,52.8,Per cent,,
2010,Tas,Alcohol,Single occasion risk status,Abstainers,14+,Females,19.1,Per cent,,
2010,Tas,Alcohol,Single occasion risk status,Low risk,14+,Females,51.3,Per cent,,
2010,Tas,Alcohol,Single occasion risk status,Risky at least yearly,14+,Females,12.3,Per cent,,
2010,Tas,Alcohol,Single occasion risk status,Risky at least monthly,14+,Females,11.3,Per cent,,
2010,Tas,Alcohol,Single occasion risk status,Risky at least weekly,14+,Females,6.1,Per cent,,
2010,Tas,Alcohol,Single occasion risk status,Total risky,14+,Females,29.6,Per cent,,
2010,Tas,Alcohol,Single occasion risk status,Abstainers,14+,Persons,14.6,Per cent,,
2010,Tas,Alcohol,Single occasion risk status,Low risk,14+,Persons,44.3,Per cent,,
2010,Tas,Alcohol,Single occasion risk status,Risky at least yearly,14+,Persons,11.7,Per cent,,
2010,Tas,Alcohol,Single occasion risk status,Risky at least monthly,14+,Persons,13.3,Per cent,,
2010,Tas,Alcohol,Single occasion risk status,Risky at least weekly,14+,Persons,16,Per cent,,
2010,Tas,Alcohol,Single occasion risk status,Total risky,14+,Persons,41,Per cent,,
2013,Tas,Alcohol,Single occasion risk status,Abstainers,14+,Males,14.4,Per cent,,
2013,Tas,Alcohol,Single occasion risk status,Low risk,14+,Males,33.4,Per cent,,
2013,Tas,Alcohol,Single occasion risk status,Risky at least yearly,14+,Males,10.7,Per cent,,
2013,Tas,Alcohol,Single occasion risk status,Risky at least monthly,14+,Males,18.4,Per cent,,
2013,Tas,Alcohol,Single occasion risk status,Risky at least weekly,14+,Males,23.1,Per cent,,
2013,Tas,Alcohol,Single occasion risk status,Total risky,14+,Males,52.2,Per cent,,
2013,Tas,Alcohol,Single occasion risk status,Abstainers,14+,Females,19.5,Per cent,,
2013,Tas,Alcohol,Single occasion risk status,Low risk,14+,Females,51.1,Per cent,,
2013,Tas,Alcohol,Single occasion risk status,Risky at least yearly,14+,Females,11.8,Per cent,,
2013,Tas,Alcohol,Single occasion risk status,Risky at least monthly,14+,Females,10.2,Per cent,,
2013,Tas,Alcohol,Single occasion risk status,Risky at least weekly,14+,Females,7.5,Per cent,,
2013,Tas,Alcohol,Single occasion risk status,Total risky,14+,Females,29.4,Per cent,,
2013,Tas,Alcohol,Single occasion risk status,Abstainers,14+,Persons,16.9,Per cent,,
2013,Tas,Alcohol,Single occasion risk status,Low risk,14+,Persons,42.4,Per cent,,
2013,Tas,Alcohol,Single occasion risk status,Risky at least yearly,14+,Persons,11.2,Per cent,,
2013,Tas,Alcohol,Single occasion risk status,Risky at least monthly,14+,Persons,14.3,Per cent,,
2013,Tas,Alcohol,Single occasion risk status,Risky at least weekly,14+,Persons,15.2,Per cent,,
2013,Tas,Alcohol,Single occasion risk status,Total risky,14+,Persons,40.7,Per cent,,
2016,Tas,Alcohol,Single occasion risk status,Abstainers,14+,Males,16.7,Per cent,,
2016,Tas,Alcohol,Single occasion risk status,Low risk,14+,Males,30.3,Per cent,,
2016,Tas,Alcohol,Single occasion risk status,Risky at least yearly,14+,Males,14.3,Per cent,,
2016,Tas,Alcohol,Single occasion risk status,Risky at least monthly,14+,Males,16.5,Per cent,,
2016,Tas,Alcohol,Single occasion risk status,Risky at least weekly,14+,Males,22.3,Per cent,,
2016,Tas,Alcohol,Single occasion risk status,Total risky,14+,Males,53.1,Per cent,,
2016,Tas,Alcohol,Single occasion risk status,Abstainers,14+,Females,19.2,Per cent,,
2016,Tas,Alcohol,Single occasion risk status,Low risk,14+,Females,51.5,Per cent,,
2016,Tas,Alcohol,Single occasion risk status,Risky at least yearly,14+,Females,14.4,Per cent,,
2016,Tas,Alcohol,Single occasion risk status,Risky at least monthly,14+,Females,8.2,Per cent,,
2016,Tas,Alcohol,Single occasion risk status,Risky at least weekly,14+,Females,6.6,Per cent,,
2016,Tas,Alcohol,Single occasion risk status,Total risky,14+,Females,29.2,Per cent,,
2016,Tas,Alcohol,Single occasion risk status,Abstainers,14+,Persons,18,Per cent,,
2016,Tas,Alcohol,Single occasion risk status,Low risk,14+,Persons,41,Per cent,,
2016,Tas,Alcohol,Single occasion risk status,Risky at least yearly,14+,Persons,14.3,Per cent,,
2016,Tas,Alcohol,Single occasion risk status,Risky at least monthly,14+,Persons,12.3,Per cent,,
2016,Tas,Alcohol,Single occasion risk status,Risky at least weekly,14+,Persons,14.4,Per cent,,
2016,Tas,Alcohol,Single occasion risk status,Total risky,14+,Persons,41,Per cent,,
2010,ACT,Alcohol,Single occasion risk status,Abstainers,14+,Males,12,Per cent,,
2010,ACT,Alcohol,Single occasion risk status,Low risk,14+,Males,32,Per cent,,
2010,ACT,Alcohol,Single occasion risk status,Risky at least yearly,14+,Males,15.4,Per cent,,
2010,ACT,Alcohol,Single occasion risk status,Risky at least monthly,14+,Males,18.5,Per cent,,
2010,ACT,Alcohol,Single occasion risk status,Risky at least weekly,14+,Males,22,Per cent,,
2010,ACT,Alcohol,Single occasion risk status,Total risky,14+,Males,56,Per cent,,
2010,ACT,Alcohol,Single occasion risk status,Abstainers,14+,Females,15.4,Per cent,,
2010,ACT,Alcohol,Single occasion risk status,Low risk,14+,Females,50.1,Per cent,,
2010,ACT,Alcohol,Single occasion risk status,Risky at least yearly,14+,Females,15.2,Per cent,,
2010,ACT,Alcohol,Single occasion risk status,Risky at least monthly,14+,Females,13.8,Per cent,,
2010,ACT,Alcohol,Single occasion risk status,Risky at least weekly,14+,Females,5.5,Per cent,,
2010,ACT,Alcohol,Single occasion risk status,Total risky,14+,Females,34.5,Per cent,,
2010,ACT,Alcohol,Single occasion risk status,Abstainers,14+,Persons,13.7,Per cent,,
2010,ACT,Alcohol,Single occasion risk status,Low risk,14+,Persons,41.1,Per cent,,
2010,ACT,Alcohol,Single occasion risk status,Risky at least yearly,14+,Persons,15.3,Per cent,,
2010,ACT,Alcohol,Single occasion risk status,Risky at least monthly,14+,Persons,16.1,Per cent,,
2010,ACT,Alcohol,Single occasion risk status,Risky at least weekly,14+,Persons,13.8,Per cent,,
2010,ACT,Alcohol,Single occasion risk status,Total risky,14+,Persons,45.2,Per cent,,
2013,ACT,Alcohol,Single occasion risk status,Abstainers,14+,Males,16.3,Per cent,,
2013,ACT,Alcohol,Single occasion risk status,Low risk,14+,Males,28.6,Per cent,,
2013,ACT,Alcohol,Single occasion risk status,Risky at least yearly,14+,Males,13.9,Per cent,,
